track_id,danceability,energy,acousticness,valence,tempo,loudness
1waOqfmEVkVC8WhaIP6uGI,0.838,0.453,0.025,0.815,78.837,-11.536
7MKcM6TfaGKQVFfhstCbOw,0.666,0.259,0.585,0.698,116.082,-10.721
6dzrCHBBKutQezMkeWaOEY,0.781,0.412,0.00294,0.449,127.968,-9.187
5MRQvbpvXejJJy0OWciP8G,0.865,0.746,0.0329,0.961,132.846,-8.58
4aUCPal9bxTnQkEfdIY6sG,0.941,0.462,0.129,0.758,123.674,-11.029
1WgOedf4pKmgepml1CMW6o,0.812,0.638,0.0219,0.905,135.165,-8.116
0CLbmkYmQIWiEwnsbOkLpd,0.37,0.586,0.485,0.519,121.573,-13.468
7unF2ARDGldwWxZWCmlwDM,0.341,0.57,0.581,0.392,89.754,-11.71
0jHEixPAoSopOP75j2iTX9,0.4,0.616,0.546,0.455,98.06,-14.026
5FLQmLjjeNIuC8U5mDnXC8,0.381,0.313,0.897,0.376,127.106,-11.852
